council,register_ref,eircode,id,original_address,cleaned_query,lat,lon,confidence,check_on_map
"Wexford","DER2023-090","","wexford-der2023-090","Derelict Site, Carnew Road, Ferns, Co. Wexford","Carnew Road, Ferns, Co. Wexford","52.65546","-6.6512","street","https://www.openstreetmap.org/?mlat=52.65546&mlon=-6.6512#map=18/52.65546/-6.6512"
"Wexford","DER2024-038","","wexford-der2024-038","Site Adj acent to Applegreen, Ferns, Co. Wexford","Ferns, Co. Wexford","52.589792","-6.495289","town","https://www.openstreetmap.org/?mlat=52.589792&mlon=-6.495289#map=18/52.589792/-6.495289"
"Wexford","DER2020-028","","wexford-der2020-028","Bungalow at Ballybrennan, Killinick, Co. Wexford","Ballybrennan, Killinick, Co. Wexford","52.253941","-6.419782","town","https://www.openstreetmap.org/?mlat=52.253941&mlon=-6.419782#map=18/52.253941/-6.419782"
"Wexford","DER2023-061","","wexford-der2023-061","No. 1 South Main Street (Formerly Shoe Zone), Wexford","1 South Main Street, Wexford","52.337556","-6.46123","town","https://www.openstreetmap.org/?mlat=52.337556&mlon=-6.46123#map=18/52.337556/-6.46123"
"Wexford","DER2024-041","","wexford-der2024-041","Old Pub, Hookless Village, Fethard-on-Sea. Co. Wexford","Hookless Village, Fethard-on-Sea, Co. Wexford","52.193124","-6.842883","street","https://www.openstreetmap.org/?mlat=52.193124&mlon=-6.842883#map=18/52.193124/-6.842883"
"Wexford","DER2024-017","","wexford-der2024-017","Former Coogan's Pub/Kavanagh's Pub, Shannon Quay, Enniscorthy, Co. Wexford","Shannon Quay, Enniscorthy, Co. Wexford","52.500941","-6.563938","town","https://www.openstreetmap.org/?mlat=52.500941&mlon=-6.563938#map=18/52.500941/-6.563938"
"Wexford","DER2023-136","","wexford-der2023-136","Swimming Pool at Hookless Village, Fethard-on-Sea, Co. Wexford","Hookless Village, Fethard-on-Sea, Co. Wexford","52.193124","-6.842883","street","https://www.openstreetmap.org/?mlat=52.193124&mlon=-6.842883#map=18/52.193124/-6.842883"
"Wexford","DER2024-003","","wexford-der2024-003","Former Mulcahy Paintings, 98 North Main Street, Wexford","98 North Main Street, Wexford","52.338647","-6.46187","town","https://www.openstreetmap.org/?mlat=52.338647&mlon=-6.46187#map=18/52.338647/-6.46187"
"Wexford","DER2022-023","","wexford-der2022-023","Church View, 41 Lower John Street, Wexford","41 Lower John Street, Wexford","52.338392","-6.465134","town","https://www.openstreetmap.org/?mlat=52.338392&mlon=-6.465134#map=18/52.338392/-6.465134"
"Wexford","DER2023-043","","wexford-der2023-043","Crossroads Foodstore, Wygram Heights, Wexford","Wygram Heights, Wexford","52.340244","-6.471824","town","https://www.openstreetmap.org/?mlat=52.340244&mlon=-6.471824#map=18/52.340244/-6.471824"
"Wexford","DER2022-034","","wexford-der2022-034","Former Ann's Hair Salon, Main Street, Taghmon, Co. Wexford","Main Street, Taghmon, Co. Wexford","52.322829","-6.654312","town","https://www.openstreetmap.org/?mlat=52.322829&mlon=-6.654312#map=18/52.322829/-6.654312"
"Wexford","DER2021-009","","wexford-der2021-009","1-5 The Old Creamery, Ballycanew, Gorey, Co. Wexford","1 The Old Creamery, Ballycanew, Gorey, Co. Wexford","52.608836","-6.303487","street","https://www.openstreetmap.org/?mlat=52.608836&mlon=-6.303487#map=18/52.608836/-6.303487"
"Wexford","DER2022-033","","wexford-der2022-033","Former Bike Shop, Priory Street, New Ross, Co. Wexford","Priory Street, New Ross, Co. Wexford","52.39198","-6.946442","town","https://www.openstreetmap.org/?mlat=52.39198&mlon=-6.946442#map=18/52.39198/-6.946442"
"Wexford","DER2020-039","","wexford-der2020-039","Old Thatched Cottage, Ballyedmond Village, Ballyedmond, Co. Wexford","Ballyedmond Village, Ballyedmond, Co. Wexford","52.552895","-6.340688","town","https://www.openstreetmap.org/?mlat=52.552895&mlon=-6.340688#map=18/52.552895/-6.340688"
"Wexford","DER2020-013","","wexford-der2020-013","BumbleBee Licensed Premises, Priory Street, New Ross, Co. Wexford","Priory Street, New Ross, Co. Wexford","52.39198","-6.946442","town","https://www.openstreetmap.org/?mlat=52.39198&mlon=-6.946442#map=18/52.39198/-6.946442"
"Wexford","DER2020-014","","wexford-der2020-014","Priory Street (adj. to Bumblebee), New Ross, Co. Wexford","Priory Street, New Ross, Co. Wexford","52.39198","-6.946442","town","https://www.openstreetmap.org/?mlat=52.39198&mlon=-6.946442#map=18/52.39198/-6.946442"
"Wexford","DER2017-007","","wexford-der2017-007","The Former Great Southern Hotel, Rosslare Harbour, Co. Wexford","Rosslare Harbour, Co. Wexford","52.251194","-6.337538","town","https://www.openstreetmap.org/?mlat=52.251194&mlon=-6.337538#map=18/52.251194/-6.337538"
"Wexford","DER2014-013","","wexford-der2014-013","Rocks Factory (Formerly Breens Carriage Factory), Templeshannon, Enniscorthy, Co. Wexford","Templeshannon, Enniscorthy, Co. Wexford","52.501544","-6.559311","town","https://www.openstreetmap.org/?mlat=52.501544&mlon=-6.559311#map=18/52.501544/-6.559311"
"Wexford","DER2014-004","","wexford-der2014-004","Harneys Shoe Repairs, 4 John Street, New Ross, Co. Wexford","4 John Street, New Ross, Co. Wexford","52.396887","-6.944014","town","https://www.openstreetmap.org/?mlat=52.396887&mlon=-6.944014#map=18/52.396887/-6.944014"
"Wexford","DER2014-002","","wexford-der2014-002","Gladneys Licenced Premises, 5 John Street, New Ross, Co. Wexford","5 John Street, New Ross, Co. Wexford","52.396827","-6.944032","town","https://www.openstreetmap.org/?mlat=52.396827&mlon=-6.944032#map=18/52.396827/-6.944032"
"Louth","DS 509","","louth-ds-509","34 Quay St. Dundalk (Former Danny Boys Bar), Co. Louth","34 Quay St, Dundalk, Co. Louth","54.00646","-6.385245","town","https://www.openstreetmap.org/?mlat=54.00646&mlon=-6.385245#map=18/54.00646/-6.385245"
"Louth","DS 540","","louth-ds-540","Former NV Niteclub, Carrickcarnon, Co. Louth","Carrickcarnon, Co. Louth","54.105366","-6.359648","town","https://www.openstreetmap.org/?mlat=54.105366&mlon=-6.359648#map=18/54.105366/-6.359648"
"Louth","DS 584","","louth-ds-584","Former Bank, 3 Marsh Road, Drogheda, Co. Louth","3 Marsh Road, Drogheda, Co. Louth","53.713446","-6.34746","town","https://www.openstreetmap.org/?mlat=53.713446&mlon=-6.34746#map=18/53.713446/-6.34746"
"Louth","DS 2023 001","","louth-ds-2023-001","83 Strand Street, Clogherhead Allwell House/Duke House, Duke St, Co. Louth","83 Strand Street, Clogherhead, Co. Louth; Duke Street, Co. Louth","53.7904","-6.236094","street","https://www.openstreetmap.org/?mlat=53.7904&mlon=-6.236094#map=18/53.7904/-6.236094"
"Louth","DS 2024 005","","louth-ds-2024-005","Former Public House, Main St, Dunleer, Co. Louth","Main St, Dunleer, Co. Louth","53.831398","-6.394607","street","https://www.openstreetmap.org/?mlat=53.831398&mlon=-6.394607#map=18/53.831398/-6.394607"
"Louth","DS 2023 070","","louth-ds-2023-070","PJ Carroll Bldg,38-39 Church St,Dundalk, Co. Louth","38 Church St, Dundalk, Co. Louth","54.008811","-6.402424","town","https://www.openstreetmap.org/?mlat=54.008811&mlon=-6.402424#map=18/54.008811/-6.402424"
"Louth","DS 2024 044","","louth-ds-2024-044","Ferrard House, Hacketts Cross, Clogherhead, Co. Louth","Hacketts Cross, Clogherhead, Co. Louth","53.801667","-6.255556","town","https://www.openstreetmap.org/?mlat=53.801667&mlon=-6.255556#map=18/53.801667/-6.255556"
"Louth","DS 2025 010","","louth-ds-2025-010","Spiders Web, Carrickmacross Rd, Dundalk, Co. Louth","Carrickmacross Rd, Dundalk, Co. Louth","54.000052","-6.415283","town","https://www.openstreetmap.org/?mlat=54.000052&mlon=-6.415283#map=18/54.000052/-6.415283"
"Louth","DS 2023 013","","louth-ds-2023-013","3 former dwellings, Brewery St, Castlebellingham, Co. Louth","Brewery St, Castlebellingham, Co. Louth","53.89683","-6.389165","street","https://www.openstreetmap.org/?mlat=53.89683&mlon=-6.389165#map=18/53.89683/-6.389165"
"Louth","DS 2023 063","","louth-ds-2023-063","Former Drg Chem Manure Wrks, Marsh Rd, Drog, Co. Louth","Marsh Rd, Drogheda, Co. Louth","53.713446","-6.34746","town","https://www.openstreetmap.org/?mlat=53.713446&mlon=-6.34746#map=18/53.713446/-6.34746"
"Westmeath","20","","westmeath-20","Buildings on rhs of Mullingar Rd, Kilbeggan, Co. Westmeath","Mullingar Rd, Kilbeggan, Co. Westmeath","53.50255","-7.421037","town","https://www.openstreetmap.org/?mlat=53.50255&mlon=-7.421037#map=18/53.50255/-7.421037"
"Westmeath","372","","westmeath-372","Buds in Bloom, Kilbeggan, Co. Westmeath","Kilbeggan, Co. Westmeath","53.369507","-7.502669","town","https://www.openstreetmap.org/?mlat=53.369507&mlon=-7.502669#map=18/53.369507/-7.502669"
"Westmeath","468","","westmeath-468","Rear of 16 Court Devenish Athlone, Co. Westmeath","16 Court Devenish, Athlone, Co. Westmeath","53.424707","-7.939635","town","https://www.openstreetmap.org/?mlat=53.424707&mlon=-7.939635#map=18/53.424707/-7.939635"
"Westmeath","663","","westmeath-663","Pub at Junction of Trim Rd, Kinnegad, Co. Westmeath","Trim Rd, Kinnegad, Co. Westmeath","53.695252","-7.357535","town","https://www.openstreetmap.org/?mlat=53.695252&mlon=-7.357535#map=18/53.695252/-7.357535"
"Westmeath","729","","westmeath-729","Athlone Glass Site, Clonown Road, Doovoge, Athlone, Co. Westmeath","Clonown Road, Doovoge, Athlone, Co. Westmeath","53.417931","-7.947729","street","https://www.openstreetmap.org/?mlat=53.417931&mlon=-7.947729#map=18/53.417931/-7.947729"
"Westmeath","759","","westmeath-759","Former Texas Oil, Bellaugh, Athlone, Co. Westmeath","Bellaugh, Athlone, Co. Westmeath","53.421273","-7.956995","town","https://www.openstreetmap.org/?mlat=53.421273&mlon=-7.956995#map=18/53.421273/-7.956995"
"Carlow","DS172","","carlow-ds172","Piers & Cottage, Burton Hall, Palatine Co. Carlow","Burton Hall, Palatine, Co. Carlow","52.863384","-6.86011","town","https://www.openstreetmap.org/?mlat=52.863384&mlon=-6.86011#map=18/52.863384/-6.86011"
"Carlow","DS182","","carlow-ds182","Tullow Motor Factors Building, Church Street, Tullow, Co. Carlow.","Church Street, Tullow, Co. Carlow.","52.803258","-6.73516","town","https://www.openstreetmap.org/?mlat=52.803258&mlon=-6.73516#map=18/52.803258/-6.73516"
"Carlow","DS219","","carlow-ds219","Lamberts Hardware Corner of Main St and Mill St Hacketstown, Tullow, Co. Carlow","Main St and Mill St, Hacketstown, Tullow, Co. Carlow","52.865398","-6.55864","street","https://www.openstreetmap.org/?mlat=52.865398&mlon=-6.55864#map=18/52.865398/-6.55864"
"Monaghan","DSN 7/22","","monaghan-dsn-7-22","Derryveagh, Carrickroe, Co. Monaghan - Folio MN23422F","Derryveagh, Carrickroe, Co. Monaghan","54.360339","-7.017341","town","https://www.openstreetmap.org/?mlat=54.360339&mlon=-7.017341#map=18/54.360339/-7.017341"
"Monaghan","DSN 43/25","","monaghan-dsn-43-25","Land behind Bank of Ireland on Bridwell Lane (to the South) and Drummond Etra (to the West), Carrickmacross, Co. Monaghan","Bridwell Lane, Carrickmacross, Co. Monaghan","53.976696","-6.720883","street","https://www.openstreetmap.org/?mlat=53.976696&mlon=-6.720883#map=18/53.976696/-6.720883"
"Sligo","DS 074","","sligo-ds-074","Old Street, Collooney, Co Sligo - Former Crystal factory","Old Street, Collooney, Co. Sligo","54.185715","-8.489602","street","https://www.openstreetmap.org/?mlat=54.185715&mlon=-8.489602#map=18/54.185715/-8.489602"
"Sligo","DS 117","","sligo-ds-117","Westgardens/Market Street, Sligo - Building Property B","Westgardens/Market Street, Sligo","54.268639","-8.472294","street","https://www.openstreetmap.org/?mlat=54.268639&mlon=-8.472294#map=18/54.268639/-8.472294"
"Sligo","DS 118","","sligo-ds-118","Westgardens/Market Street, Sligo - Building Property C","Westgardens/Market Street, Sligo","54.268639","-8.472294","street","https://www.openstreetmap.org/?mlat=54.268639&mlon=-8.472294#map=18/54.268639/-8.472294"
"Sligo","DS 222","","sligo-ds-222","Property at Carrowhubback South, Main Street, Enniscrone, Co. Sligo","Carrowhubback South, Main Street, Enniscrone, Co. Sligo","54.212882","-9.095384","street","https://www.openstreetmap.org/?mlat=54.212882&mlon=-9.095384#map=18/54.212882/-9.095384"
"Sligo","DS 100","","sligo-ds-100","High Street, Market Street, Sligo (Old Savoy Cinema)","High Street, Market Street, Sligo","54.270273","-8.473515","street","https://www.openstreetmap.org/?mlat=54.270273&mlon=-8.473515#map=18/54.270273/-8.473515"
"Sligo","DS 177","","sligo-ds-177","Old Dispensary Building, Charles Street, Sligo","Charles Street, Sligo","54.269974","-8.475888","town","https://www.openstreetmap.org/?mlat=54.269974&mlon=-8.475888#map=18/54.269974/-8.475888"
"Leitrim","DS60","","leitrim-ds60","Near Junction of N4 and County Road 657 - Jamestown, Co. Leitrim","Jamestown, Co. Leitrim","53.926877","-8.030312","town","https://www.openstreetmap.org/?mlat=53.926877&mlon=-8.030312#map=18/53.926877/-8.030312"
"Leitrim","DS62","","leitrim-ds62","Adjacent N16 near junction with County Road 144 Diffreen, Glencar, Co. Leitrim","Diffreen, Glencar, Co. Leitrim","54.315887","-8.331632","town","https://www.openstreetmap.org/?mlat=54.315887&mlon=-8.331632#map=18/54.315887/-8.331632"
"Donegal","DSR/2025/004","F92 RK19","donegal-dsr-2025-004","Former Scally Surgery (F92 RK19) & Dwelling (F92 NP52), Castle Street, Letterkenny,Co. Donegal.","Castle Street, Letterkenny, Co. Donegal, F92 RK19","55.037421","-7.644312","town","https://www.openstreetmap.org/?mlat=55.037421&mlon=-7.644312#map=18/55.037421/-7.644312"
"Donegal","DS 46(D)","","donegal-ds-46-d","Condon Building, Mall, Ballyshannon, Co. Donegal","Mall, Ballyshannon, Co. Donegal","54.517845","-8.183979","town","https://www.openstreetmap.org/?mlat=54.517845&mlon=-8.183979#map=18/54.517845/-8.183979"
